3_levels,5_levels,7_levels,consumption,temperature,hour_of_day,day_of_week,day_of_month,month_of_year
1,1,1,0.255,-6,1,5,1,1
1,1,1,0.264,-6.9,2,5,1,1
1,1,1,0.253,-7.1,3,5,1,1
1,1,1,0.25,-7.2,4,5,1,1
1,1,1,0.234,-7.5,5,5,1,1
1,1,1,0.249,-7.4,6,5,1,1
1,1,1,0.297,-7.8,7,5,1,1
1,1,1,0.323,-8.5,8,5,1,1
1,2,2,0.423,-9.5,9,5,1,1
1,2,2,0.418,-8.7,10,5,1,1
1,2,2,0.418,-6.1,11,5,1,1
1,2,3,0.431,-5.3,12,5,1,1
1,2,2,0.424,-4,13,5,1,1
1,2,2,0.424,-2.3,14,5,1,1
1,2,2,0.426,-1.4,15,5,1,1
1,2,2,0.419,-1,16,5,1,1
1,2,2,0.423,-1.6,17,5,1,1
1,2,3,0.434,-3,18,5,1,1
1,2,2,0.393,-5,19,5,1,1
1,2,2,0.367,-5.5,20,5,1,1
1,1,2,0.356,-6.6,21,5,1,1
1,1,1,0.313,-7.5,22,5,1,1
1,1,1,0.288,-8.3,23,5,1,1
1,1,1,0.284,-8.6,24,5,1,1
1,1,1,0.28,-8.9,1,6,2,1
1,1,1,0.281,-9.6,2,6,2,1
1,1,1,0.288,-9.7,3,6,2,1
1,1,1,0.287,-10.4,4,6,2,1
1,1,1,0.329,-10.8,5,6,2,1
1,2,2,0.389,-13.5,6,6,2,1
2,2,3,0.541,-14,7,6,2,1
2,2,3,0.563,-14.4,8,6,2,1
2,2,3,0.631,-14.8,9,6,2,1
2,3,3,0.663,-12.7,10,6,2,1
2,3,3,0.657,-7.9,11,6,2,1
2,3,4,0.745,-7.2,12,6,2,1
2,3,4,0.76,-6.5,13,6,2,1
2,3,4,0.715,-5.8,14,6,2,1
2,3,4,0.73,-6,15,6,2,1
2,3,4,0.717,-6.2,16,6,2,1
2,3,4,0.693,-6.6,17,6,2,1
2,3,3,0.67,-6.9,18,6,2,1
2,3,3,0.656,-7.5,19,6,2,1
2,2,3,0.623,-7.7,20,6,2,1
2,2,3,0.602,-7.8,21,6,2,1
1,2,3,0.499,-7.9,22,6,2,1
1,2,2,0.39,-8,23,6,2,1
1,1,1,0.332,-8.2,24,6,2,1
1,1,1,0.295,-8.4,1,7,3,1
1,1,1,0.299,-8.7,2,7,3,1
1,1,1,0.311,-9.2,3,7,3,1
1,1,1,0.304,-9.7,4,7,3,1
1,1,1,0.293,-10.5,5,7,3,1
1,2,2,0.369,-11.1,6,7,3,1
1,2,3,0.515,-11.5,7,7,3,1
2,2,3,0.622,-12.2,8,7,3,1
2,4,5,0.795,-12.8,9,7,3,1
3,4,6,0.844,-12.9,10,7,3,1
3,4,6,0.873,-11.4,11,7,3,1
3,4,6,0.859,-10.8,12,7,3,1
3,4,6,0.853,-10.4,13,7,3,1
3,4,6,0.865,-10.2,14,7,3,1
3,5,6,0.903,-10,15,7,3,1
3,5,6,0.898,-10.3,16,7,3,1
3,5,6,0.889,-10.2,17,7,3,1
3,4,6,0.854,-10.8,18,7,3,1
3,4,6,0.837,-11.2,19,7,3,1
